video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
0rNsFFW8oTE,333365,1,0,2,2
2gFmaGqX55M,265288,1,0,2,2
6W-avyH7jP4,505291,1,0,2,2
7lY0QLPzRF8,441601,1,0,2,2
ABQRwPu_0PQ,449796,1,0,2,2
Aq6KNRyvm-Y,236098,1,0,2,2
DAE4pBzCZb0,263869,1,0,2,2
FcmFGOXcMKc,200434,1,0,2,2
Gw5dhfF-t2s,336129,1,0,2,2
H-lFlVXEiwg,228168,1,0,2,2
Mq8ZZBtRSFo,274021,1,0,2,2
NQMKbQjCWJM,294681,1,0,2,2
O0WhHCW7phU,475707,1,0,2,2
SWHQjBmi-lQ,288676,1,0,2,2
YZMTz2aWGoc,258363,1,0,2,2
ZhUUD1pJ8ik,299507,1,0,2,2
aIDa_G8Xgtc,588750,1,0,2,2
fclUkSwdBLw,361204,1,0,2,2
fgxMV9p_2l4,364584,1,0,2,2
h5A94PdZUu0,422922,1,0,2,2
hYU4ouTh3-w,210904,1,0,2,2
iXyNP_BuPio,232821,1,0,2,2
kdXSABDmT2k,251621,1,0,2,2
mHC18PHRpJ4,386752,1,0,2,2
pnCqoIyheyY,248408,1,0,2,2
s_zvKApMadM,215540,1,0,2,2
t30z0Hq0Cfk,247205,1,0,2,2
0EzPtJrOZgY,435996,1,0,2,2
1UvHcisN9Tc,393378,1,0,2,2
2d6Pc2kqIgE,243050,1,0,2,2
3NnzlEU-61M,216704,1,0,2,2
5C5NCfaiDhQ,362299,1,0,2,2
5Q5jTc_2gE4,247493,1,0,2,2
7HgeZHs7hcU,582545,1,0,2,2
8wYLa00twnA,473188,1,0,2,2
D8rP2G1xxGs,553609,1,0,2,2
EgW0wwtf2Sk,253945,1,0,2,2
Ex7kN_zbknk,367040,1,0,2,2
H2voyQ5VtmQ,236607,1,0,2,2
IXFi2oKVHhg,267311,1,0,2,2
KSqkQe6hSzc,389946,1,0,2,2
KostKNi05uo,310250,1,0,2,2
Kyfz1aRD2fc,464631,1,0,2,2
MuiaD8EnMW0,218451,1,0,2,2
NjqNcji3BUM,274203,1,0,2,2
NojVXNtMJkE,216934,1,0,2,2
NqNBilGoxMU,205449,1,0,2,2
OXwV7k5q4bM,313040,1,0,2,2
PmL51Z2FUsI,299303,1,0,2,2
TCbVKg28cLA,295250,1,0,2,2
VLz8u0nOTu8,419010,1,0,2,2
VhkHGWaRkxw,310178,1,0,2,2
Xh7cy3hoGbM,331912,1,0,2,2
YH3u4ugA0Jw,420004,1,0,2,2
ZTckMhVa3kg,303823,1,0,2,2
ZqMnOvnjodw,335348,1,0,2,2
dYB2f0dWdwE,459308,1,0,2,2
ggDcjqR2FTE,456018,1,0,2,2
hB2o9ZOvges,290368,1,0,2,2
jFbS8nSfKAg,296558,1,0,2,2
lWlSXJc1V94,453541,1,0,2,2
m5wEusieXJc,200329,1,0,2,2
na083wjTzSM,337949,1,0,2,2
u4ZYoGXUcCo,277629,1,0,2,2
uw8IuBDvWdc,476642,1,0,2,2
vwSXOPq9u80,310874,1,0,2,2
zP90IMjyxVo,476668,1,0,2,2
0MgW0ewcyYU,500464,1,0,2,2
3Ty0Sc3sYCY,222691,1,0,2,2
400qwgCXFoY,403870,1,0,2,2
4NcQmr6Bai8,247436,1,0,2,2
4ZOMIpMbcpo,494554,1,0,2,2
5yKJssdPXBM,536526,1,0,2,2
6F5PBHalZkM,206868,1,0,2,2
7FEX_GUmEos,411514,1,0,2,2
7nIggQGH4wo,580077,1,0,2,2
A1cz1RR4Fbo,201787,1,0,2,2
BkvFN00oR9E,527140,1,0,2,2
D70oVJdp0xQ,237947,1,0,2,2
DjYpIbjbYQE,518155,1,0,2,2
F3aGTsfr0hY,479820,1,0,2,2
I-iVke8ByPk,406937,1,0,2,2
